gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
2408,125,1,3135,25,78305,62,45,146172,1433,818,0,2452,0
2300,132,0,3130,44,98575,76,24,140761,13071,865,2011,3124,0
2016,89,0,2294,10,47290,48,56,54637,6156,614,0,1745,0
4352,123,0,7050,12,66900,28,16,41496,1217,311,2033,990,0
5543,116,1,7389,36,69690,14,16,63496,11378,196,969,847,1
2142,117,0,2747,32,75720,53,67,122640,3334,731,9809,2366,0
2605,149,0,3838,46,125175,48,55,225981,6777,1385,0,3337,0
2447,100,1,3009,23,62020,40,48,112266,14850,746,588,1682,0
2753,140,0,3939,40,88560,47,62,147744,13823,941,4474,2326,1
3091,120,0,4192,44,74755,37,52,124038,15090,606,2901,1569,1
2748,150,0,4126,46,118275,55,67,184688,8804,1265,40,3106,0
2897,142,0,3860,59,107770,16,22,190786,20716,1203,10223,2496,1
2441,117,0,3420,51,68265,29,45,134861,11874,504,3578,1964,1
2595,117,1,3030,31,100960,49,44,170965,10630,890,663,2990,0
2606,143,0,3808,39,104315,60,67,183714,16120,1090,5212,2945,0
2501,122,0,3309,24,79645,63,56,133205,11113,1037,582,2149,0
5631,144,0,9958,54,90820,16,14,108277,5392,200,240,1025,1
2764,119,0,3813,56,78815,32,45,124680,17915,735,3429,1790,1
2682,137,0,4172,52,85780,40,64,130657,18389,745,8000,2109,1
3024,147,1,4037,43,117345,52,90,175269,24398,1233,3405,2726,1
2708,133,0,3964,59,88465,50,85,161821,15006,781,0,2230,1
2361,114,0,3002,45,60285,38,67,106478,18715,554,400,2022,1
3195,147,0,3882,48,144470,62,68,188633,22629,1630,2437,3268,1
607,12,0,949,0,3350,2,4,3057,20,36,0,317,0
2354,139,0,3141,33,93725,71,45,145548,3731,1045,6252,3000,0
6046,150,1,9303,60,196430,59,15,251356,19024,635,9416,2630,0
2835,114,0,3131,32,81115,24,57,83202,23812,835,0,1915,1
4882,140,0,8545,34,87605,13,50,75030,12795,261,9447,1076,1
2410,109,0,3020,49,69200,32,30,134311,19115,538,1722,1958,1
2693,126,0,3565,55,81690,40,42,137780,22142,633,4501,2080,1
2732,149,0,3760,42,112800,51,69,140336,17073,1292,4417,2971,1
4964,146,0,8682,35,92745,21,18,142294,12267,282,13384,1244,1
3071,145,0,4385,51,106705,37,61,155768,19075,1047,4493,2280,1
2576,131,0,3413,39,94535,32,56,177758,19366,871,7571,2406,1
3065,148,0,4266,60,105320,60,79,219925,15105,1048,3770,2758,1
2493,145,0,3959,37,84020,67,50,152447,4020,794,0,2611,0
3013,145,1,3595,66,125010,77,39,257062,23944,1270,0,3309,1
3165,136,0,3957,42,102060,47,25,137508,20087,989,0,2277,1
2780,124,0,3605,53,74305,28,89,115461,21398,696,0,2023,1
6197,143,0,10673,37,95305,16,29,89854,14942,279,3696,945,1
2625,139,0,3217,23,110915,51,55,161366,14153,1260,8722,2991,0
2898,138,0,3868,44,106305,59,68,128441,22188,1056,2402,2379,1
2568,121,0,2899,16,97075,42,59,119084,19646,1287,2913,2449,0
2840,129,0,3671,55,82370,34,87,152577,18567,817,1094,2105,1
2059,105,0,2608,19,62390,47,36,104228,7188,619,0,2061,0
2168,49,1,1791,9,28085,25,53,23786,1179,191,240,875,0
2437,102,0,2761,38,61980,11,41,79371,22568,504,775,1765,1
3872,138,0,5665,53,93770,37,26,117077,25147,457,5866,1611,1
6371,146,0,9373,33,109155,22,31,111075,25039,357,1283,1156,1
2622,138,0,3688,50,85080,51,41,138532,22327,700,23246,2423,1
3449,149,0,4342,54,120620,43,51,240504,21531,1295,2773,2539,1
2631,137,0,3506,45,92290,55,24,153679,17580,832,18669,2551,1
3224,150,1,3856,46,148180,37,77,204825,19520,1730,1393,3278,1
4212,139,0,7595,16,83840,36,32,93498,2234,330,4060,1268,0
2559,147,0,4003,50,107525,75,39,219354,5606,950,630,3227,0
3005,143,0,3776,36,101375,58,44,173731,11097,1292,2868,2666,0
2764,140,0,4119,36,89455,33,59,145532,20572,1088,16639,2219,1
2482,147,0,3700,37,104030,75,60,181698,3705,1202,5148,3054,0
3263,150,1,3932,85,198850,129,49,311229,14838,2090,5125,5249,0
2566,150,0,3635,43,113170,50,57,206529,11279,970,6695,3047,0
2824,132,0,3461,45,101045,43,77,122194,22414,992,691,2504,1
1840,91,0,2333,21,45370,46,47,81775,2463,403,3756,1742,0
2215,135,0,3138,38,86745,60,67,135038,4681,976,3361,2744,0
2701,127,0,3967,45,76125,46,54,140463,13267,793,0,1997,1
2608,120,0,3444,40,79620,21,71,117931,14614,737,400,1996,1
5400,112,0,5927,29,87325,26,23,64109,19789,182,125,983,1
6498,150,0,10276,37,166460,54,26,149022,25962,760,12915,1729,1
2352,119,0,2850,28,72595,47,63,103272,7613,918,480,2258,0
2677,147,0,4545,61,96970,43,94,158990,16737,906,2154,2461,1
2748,131,0,3662,42,81860,21,40,133572,19187,987,267,2224,1
5594,150,0,8080,30,124025,31,36,139217,13102,624,11598,1582,0
6076,144,0,9132,31,97020,23,28,106729,20267,336,8949,1101,1
