gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
6195,150,0,9838,63,212270,54,17,287208,16506,813,0,2692,1
2676,126,0,3432,33,85975,45,43,121250,9901,829,4790,2114,0
2911,135,0,3874,47,83490,39,48,99343,25305,935,12,2204,1
2642,139,0,3317,37,113730,60,43,154551,6121,980,5277,2741,0
2626,136,1,3786,48,95150,67,59,191842,3878,1016,21364,2781,0
2698,110,0,2969,38,75295,25,45,87149,21665,626,0,1956,1
2443,144,0,3413,28,90810,63,70,125601,7400,960,1032,2873,0
1965,88,0,2254,14,46875,38,48,43234,1304,585,8837,1674,0
3007,27,0,1544,16,17675,8,5,6270,7822,48,20,396,1
1943,95,0,2408,17,53035,56,41,60380,2456,495,727,1819,0
2840,149,0,3495,53,147100,60,54,197118,28145,1421,45321,3828,1
2272,58,1,1798,10,35620,22,28,53406,8136,202,730,1193,0
2349,139,0,3370,45,98440,49,41,188502,3232,979,205,2713,0
5257,147,0,7859,27,117925,28,17,92680,13938,503,0,1432,1
2737,116,0,3139,39,76090,26,50,85206,16579,679,0,1957,1
5567,145,0,8694,34,105535,31,26,101683,11755,409,3872,1188,1
2660,122,1,3417,39,79850,44,65,109696,17149,861,400,2258,1
2430,131,0,3233,42,85415,28,64,111523,18125,975,10475,2573,1
2876,125,0,3288,41,81775,24,34,104873,22802,855,240,2139,1
6021,150,0,8816,37,134775,24,15,110635,20786,520,6083,1430,1
2688,94,0,2761,28,68170,15,83,69792,26572,594,559,1553,1
2789,145,0,3734,54,109105,52,47,212272,17618,1111,1939,2801,1
2973,150,0,4044,59,127360,45,64,232829,23281,1451,14369,3173,1
5781,131,0,7674,26,79825,6,40,55145,17247,354,8267,1019,1
2871,138,0,3831,58,96340,33,43,157343,16333,918,5273,2329,1
2329,109,0,2862,15,75105,56,49,109864,7242,866,1199,2101,0
1844,84,0,2148,13,51010,29,77,66976,3339,496,0,1676,0
2342,117,0,2940,26,77540,55,34,119744,2117,795,4753,2382,0
3636,150,0,3934,54,176820,62,57,265502,23676,1971,4370,3415,1
2669,109,0,3319,51,68595,31,55,112495,18838,550,2922,1763,1
3093,137,0,3513,25,114140,43,28,192754,9263,1562,75,2667,0
2495,137,0,3412,37,93740,59,62,153333,19227,859,3884,2637,0
6169,147,0,9542,29,92290,21,26,96332,20809,550,3434,1186,1
3094,150,0,3807,64,175045,88,59,390406,27181,2063,495,4302,1
3051,140,0,4226,68,102610,55,40,177996,20646,845,7140,2180,1
6343,150,0,8901,53,237235,67,27,238911,16556,1008,9019,2806,1
2453,131,0,3179,22,93410,54,55,150759,6907,1230,3038,2564,0
6044,150,0,8569,26,162080,44,29,150180,12288,761,2299,1951,0
2847,150,1,4116,59,139405,64,65,232217,15790,1620,938,3474,1
2667,145,0,3628,31,104810,63,58,188547,4966,1258,365,2898,0
3117,112,0,3553,37,76825,25,19,68285,20266,856,3312,1680,1
2655,120,0,3284,44,83300,46,28,107132,18488,831,1088,2110,1
4225,144,0,7228,13,102600,29,15,116880,3085,530,3860,1509,0
2708,150,0,4178,65,103690,74,58,167709,17498,761,30972,2785,1
6314,150,0,12747,32,147555,41,22,143743,19419,433,4364,1436,1
2786,145,0,3851,46,101695,38,51,143175,23123,909,4859,2651,1
5697,148,0,10472,26,114435,39,11,93489,16464,327,887,1284,1
2966,150,0,4252,58,125305,52,58,253650,24856,1427,5753,3115,1
2229,118,0,3017,32,70310,56,58,141101,9078,689,2499,2170,0
3143,150,0,3868,57,163710,45,67,205679,29947,2104,3734,3916,1
4337,131,0,7706,20,68415,45,21,69436,5477,268,2035,1035,0
2731,142,0,3917,45,101455,32,62,144487,23706,994,7365,2562,1
2733,122,0,3206,28,83765,30,68,104195,19853,918,4768,2131,1
2397,115,0,3350,16,65880,44,48,93441,10811,897,7548,1882,0
6771,135,0,10074,36,85015,18,20,77678,14071,242,1200,845,1
5614,150,0,8181,41,160375,42,26,250392,13218,602,8415,1916,1
1932,110,0,2811,26,48665,64,36,90267,1742,384,473,2044,0
2370,127,0,3032,23,85520,58,77,170053,8512,1154,12668,2487,0
4425,141,1,7272,23,95185,27,25,84229,2829,255,791,1360,0
2654,132,1,3203,55,116835,68,82,198716,8504,1336,525,3677,0
6077,150,0,8962,48,186760,47,10,237075,15487,731,450,2180,1
1973,120,0,2807,22,67415,61,40,77212,2649,747,0,2356,0
2868,142,0,3537,39,119910,39,50,188725,30126,1321,15272,2779,1
